#proteinId	gotermId	goName	gotermType	goAcc
12203	24685	regulation of ubiquitin-protein ligase activity	biological_process	GO:0051438
12203	24687	regulation of ubiquitin-protein ligase activity during meiotic cell cycle	biological_process	GO:0051440
12203	24690	positive regulation of ubiquitin-protein ligase activity	biological_process	GO:0051443
12203	24691	negative regulation of ubiquitin-protein ligase activity	biological_process	GO:0051444
12281	6667	biosynthetic process	biological_process	GO:0009058
12281	9940	transferase activity	molecular_function	GO:0016740
12281	2717	farnesyl-diphosphate farnesyltransferase activity	molecular_function	GO:0004310
12281	6248	lipid biosynthetic process	biological_process	GO:0008610
12281	9321	integral to membrane	cellular_component	GO:0016021
12846	2196	transcription factor activity	molecular_function	GO:0003700
12846	3838	nucleus	cellular_component	GO:0005634
12846	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
12846	5939	zinc ion binding	molecular_function	GO:0008270
12846	2176	DNA binding	molecular_function	GO:0003677
12846	4499	transcription	biological_process	GO:0006350
13167	3166	triacylglycerol lipase activity	molecular_function	GO:0004806
13167	4758	lipid metabolic process	biological_process	GO:0006629
13330	2196	transcription factor activity	molecular_function	GO:0003700
13330	3838	nucleus	cellular_component	GO:0005634
13330	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
13330	5939	zinc ion binding	molecular_function	GO:0008270
13330	2176	DNA binding	molecular_function	GO:0003677
13330	4499	transcription	biological_process	GO:0006350
13690	3214	xylulokinase activity	molecular_function	GO:0004856
15690	4440	DNA repair	biological_process	GO:0006281
15690	6470	exodeoxyribonuclease III activity	molecular_function	GO:0008853
16007	9962	transferase activity, transferring pentosyl groups	molecular_function	GO:0016763
16007	111	imidazoleglycerol-phosphate synthase activity	molecular_function	GO:0000107
16007	10420	NAD(P)-cysteine ADP-ribosyltransferase activity	molecular_function	GO:0018071
16007	10461	NAD(P)-asparagine ADP-ribosyltransferase activity	molecular_function	GO:0018121
16007	10467	NAD(P)-serine ADP-ribosyltransferase activity	molecular_function	GO:0018127
16007	19331	7-cyano-7-deazaguanine tRNA-ribosyltransferase activity	molecular_function	GO:0043867
16215	3043	protein kinase activity	molecular_function	GO:0004672
16215	3736	ATP binding	molecular_function	GO:0005524
16215	4602	protein amino acid phosphorylation	biological_process	GO:0006468
16660	2227	structural constituent of ribosome	molecular_function	GO:0003735
16660	3827	intracellular	cellular_component	GO:0005622
16660	4025	ribosome	cellular_component	GO:0005840
16660	4556	translation	biological_process	GO:0006412
17817	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
17817	4591	protein folding	biological_process	GO:0006457
17817	2975	cyclophilin	molecular_function	GO:0004600
17817	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
17817	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
18072	2909	nuclease activity	molecular_function	GO:0004518
18072	4440	DNA repair	biological_process	GO:0006281
18688	3158	thymidylate kinase activity	molecular_function	GO:0004798
20707	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
20707	3782	extracellular region	cellular_component	GO:0005576
20707	4143	carbohydrate metabolic process	biological_process	GO:0005975
20707	13137	cellulose binding	molecular_function	GO:0030248
20707	9455	cellulose 1,4-beta-cellobiosidase activity	molecular_function	GO:0016162
20878	3708	binding	molecular_function	GO:0005488
21493	6664	electron carrier activity	molecular_function	GO:0009055
21493	8403	protein disulfide oxidoreductase activity	molecular_function	GO:0015035
21493	19912	cell redox homeostasis	biological_process	GO:0045454
21999	2196	transcription factor activity	molecular_function	GO:0003700
21999	3838	nucleus	cellular_component	GO:0005634
21999	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
21999	5939	zinc ion binding	molecular_function	GO:0008270
21999	2176	DNA binding	molecular_function	GO:0003677
21999	4499	transcription	biological_process	GO:0006350
26449	2290	catalytic activity	molecular_function	GO:0003824
26449	5830	metabolic process	biological_process	GO:0008152
26449	2861	long-chain-fatty-acid-CoA ligase activity	molecular_function	GO:0004467
26449	8961	fatty-acid ligase activity	molecular_function	GO:0015645
26449	14792	short-chain-fatty-acid-CoA ligase activity	molecular_function	GO:0031955
26449	14793	medium-chain-fatty-acid-CoA ligase activity	molecular_function	GO:0031956
26449	14794	very-long-chain-fatty-acid-CoA ligase activity	molecular_function	GO:0031957
26654	2322	3-dehydroquinate synthase activity	molecular_function	GO:0003856
26844	9564	CoA hydrolase activity	molecular_function	GO:0016289
26844	9566	acyl-CoA thioesterase activity	molecular_function	GO:0016291
27476	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
27476	4143	carbohydrate metabolic process	biological_process	GO:0005975
28728	3727	protein binding	molecular_function	GO:0005515
28728	5939	zinc ion binding	molecular_function	GO:0008270
28728	4499	transcription	biological_process	GO:0006350
29044	9985	hydrolase activity	molecular_function	GO:0016787
29044	611	diacylglycerol pyrophosphate phosphatase activity	molecular_function	GO:0000810
29044	3147	thiamin-pyrophosphatase activity	molecular_function	GO:0004787
29044	6073	8-oxo-7,8-dihydroguanine triphosphatase activity	molecular_function	GO:0008413
29044	6379	UDP-2,3-diacylglucosamine hydrolase activity	molecular_function	GO:0008758
29044	6416	bis(5'-nucleosyl)-tetraphosphatase activity	molecular_function	GO:0008796
29044	6447	dATP pyrophosphohydrolase activity	molecular_function	GO:0008828
29044	9684	pyrophosphatase activity	molecular_function	GO:0016462
29044	11455	dihydroneopterin monophosphate phosphatase activity	molecular_function	GO:0019176
29044	11456	dihydroneopterin triphosphate pyrophosphohydrolase activity	molecular_function	GO:0019177
29044	18631	ATP-dependent 5'-3' DNA helicase activity	molecular_function	GO:0043141
30151	2227	structural constituent of ribosome	molecular_function	GO:0003735
30151	3827	intracellular	cellular_component	GO:0005622
30151	4025	ribosome	cellular_component	GO:0005840
30151	4556	translation	biological_process	GO:0006412
33612	3727	protein binding	molecular_function	GO:0005515
38197	5794	nicotinamide N-methyltransferase activity	molecular_function	GO:0008112
39018	2227	structural constituent of ribosome	molecular_function	GO:0003735
39018	3827	intracellular	cellular_component	GO:0005622
39018	4025	ribosome	cellular_component	GO:0005840
39018	4556	translation	biological_process	GO:0006412
39733	2175	nucleic acid binding	molecular_function	GO:0003676
41003	3827	intracellular	cellular_component	GO:0005622
41003	5250	signal transduction	biological_process	GO:0007165
41003	2832	inositol or phosphatidylinositol phosphatase activity	molecular_function	GO:0004437
41003	2834	phosphoinositide 5-phosphatase activity	molecular_function	GO:0004439
41263	4598	protein modification process	biological_process	GO:0006464
41264	4598	protein modification process	biological_process	GO:0006464
41287	9564	CoA hydrolase activity	molecular_function	GO:0016289
41287	9566	acyl-CoA thioesterase activity	molecular_function	GO:0016291
42018	5939	zinc ion binding	molecular_function	GO:0008270
42120	5939	zinc ion binding	molecular_function	GO:0008270
42162	5939	zinc ion binding	molecular_function	GO:0008270
42598	2176	DNA binding	molecular_function	GO:0003677
43039	5830	metabolic process	biological_process	GO:0008152
43039	9710	oxidoreductase activity	molecular_function	GO:0016491
43106	147	1,3-beta-glucan synthase complex	cellular_component	GO:0000148
43106	2309	1,3-beta-glucan synthase activity	molecular_function	GO:0003843
43106	4243	1,3-beta-glucan biosynthetic process	biological_process	GO:0006075
43106	9320	membrane	cellular_component	GO:0016020
43283	9320	membrane	cellular_component	GO:0016020
44753	2612	electron-transferring-flavoprotein dehydrogenase activity	molecular_function	GO:0004174
44753	4283	electron transport	biological_process	GO:0006118
45019	5939	zinc ion binding	molecular_function	GO:0008270
48718	2928	ribonuclease activity	molecular_function	GO:0004540
48718	5721	tRNA processing	biological_process	GO:0008033
50216	2176	DNA binding	molecular_function	GO:0003677
50216	3838	nucleus	cellular_component	GO:0005634
50216	4499	transcription	biological_process	GO:0006350
50216	5939	zinc ion binding	molecular_function	GO:0008270
53328	15275	2-alkenal reductase activity	molecular_function	GO:0032440
53513	15275	2-alkenal reductase activity	molecular_function	GO:0032440
53870	4283	electron transport	biological_process	GO:0006118
53870	12251	heme binding	molecular_function	GO:0020037
53870	21336	transition metal ion binding	molecular_function	GO:0046914
53870	9710	oxidoreductase activity	molecular_function	GO:0016491
53870	13044	molybdenum ion binding	molecular_function	GO:0030151
54329	24	alpha-1,6-mannosyltransferase activity	molecular_function	GO:0000009
54329	42	alpha-1,2-mannosyltransferase activity	molecular_function	GO:0000026
54329	45	mannosyltransferase activity	molecular_function	GO:0000030
54329	48	alpha-1,3-mannosyltransferase activity	molecular_function	GO:0000033
54329	1170	alpha-1,3-galactosyltransferase activity	molecular_function	GO:0001962
54329	2430	UDP-glucose:glycoprotein glucosyltransferase activity	molecular_function	GO:0003980
54329	2782	glycolipid mannosyltransferase activity	molecular_function	GO:0004376
54329	2953	oligosaccharyl transferase activity	molecular_function	GO:0004576
54329	2959	dolichyl-phosphate-glucose-glycolipid alpha-glucosyltransferase activity	molecular_function	GO:0004583
54329	6039	acetylglucosaminyltransferase activity	molecular_function	GO:0008375
54329	6040	acetylgalactosaminyltransferase activity	molecular_function	GO:0008376
54329	6042	galactosyltransferase activity	molecular_function	GO:0008378
54329	6077	fucosyltransferase activity	molecular_function	GO:0008417
54329	6376	O antigen polymerase activity	molecular_function	GO:0008755
54329	6535	lipopolysaccharide-1,6-galactosyltransferase activity	molecular_function	GO:0008921
54329	9532	UDP-N-acetylglucosamine-peptide N-acetylglucosaminyltransferase activity	molecular_function	GO:0016253
54329	9958	cellulose synthase activity	molecular_function	GO:0016759
54329	11017	9-phenanthrol UDP-glucuronosyltransferase activity	molecular_function	GO:0018715
54329	11018	1-phenanthrol glycosyltransferase activity	molecular_function	GO:0018716
54329	11019	9-phenanthrol glycosyltransferase activity	molecular_function	GO:0018717
54329	11020	1,2-dihydroxy-phenanthrene glycosyltransferase activity	molecular_function	GO:0018718
54329	11396	phenanthrol glycosyltransferase activity	molecular_function	GO:0019112
54329	11466	beta-1,4-mannosyltransferase activity	molecular_function	GO:0019187
54329	14119	alpha-1,2-galactosyltransferase activity	molecular_function	GO:0031278
54329	16390	dolichyl pyrophosphate Man7GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0033556
54329	17801	dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042281
54329	17803	dolichyl pyrophosphate Glc1Man9GlcNAc2 alpha-1,3-glucosyltransferase activity	molecular_function	GO:0042283
54329	19616	inositol phosphoceramide synthase activity	molecular_function	GO:0045140
54329	20962	glucosyltransferase activity	molecular_function	GO:0046527
54329	21342	alpha(1,3)-fucosyltransferase activity	molecular_function	GO:0046920
54329	21343	alpha(1,6)-fucosyltransferase activity	molecular_function	GO:0046921
56576	4143	carbohydrate metabolic process	biological_process	GO:0005975
56576	3161	transaldolase activity	molecular_function	GO:0004801
57174	224	nuclear chromosome	cellular_component	GO:0000228
57174	4488	chromatin remodeling	biological_process	GO:0006338
57247	2175	nucleic acid binding	molecular_function	GO:0003676
57940	162	nucleotide binding	molecular_function	GO:0000166
57940	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
60732	5830	metabolic process	biological_process	GO:0008152
60732	9957	transferase activity, transferring hexosyl groups	molecular_function	GO:0016758
61707	2888	monooxygenase activity	molecular_function	GO:0004497
61707	3721	iron ion binding	molecular_function	GO:0005506
61707	4283	electron transport	biological_process	GO:0006118
61707	12251	heme binding	molecular_function	GO:0020037
61707	23642	unspecific monooxygenase activity	molecular_function	GO:0050381
63519	2770	glutathione transferase activity	molecular_function	GO:0004364
65159	5830	metabolic process	biological_process	GO:0008152
65159	9710	oxidoreductase activity	molecular_function	GO:0016491
65410	3727	protein binding	molecular_function	GO:0005515
66813	2175	nucleic acid binding	molecular_function	GO:0003676
66813	5939	zinc ion binding	molecular_function	GO:0008270
67553	3838	nucleus	cellular_component	GO:0005634
67553	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
67583	3838	nucleus	cellular_component	GO:0005634
67583	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
68193	162	nucleotide binding	molecular_function	GO:0000166
68727	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
68727	3782	extracellular region	cellular_component	GO:0005576
68727	4143	carbohydrate metabolic process	biological_process	GO:0005975
68727	13137	cellulose binding	molecular_function	GO:0030248
68727	6429	cellulase activity	molecular_function	GO:0008810
69260	2227	structural constituent of ribosome	molecular_function	GO:0003735
69260	3827	intracellular	cellular_component	GO:0005622
69260	4025	ribosome	cellular_component	GO:0005840
69260	4556	translation	biological_process	GO:0006412
69640	5849	O-methyltransferase activity	molecular_function	GO:0008171
69640	21563	sterigmatocystin 7-O-methyltransferase activity	molecular_function	GO:0047146
70658	3838	nucleus	cellular_component	GO:0005634
70658	10375	histone-lysine N-methyltransferase activity	molecular_function	GO:0018024
71190	2175	nucleic acid binding	molecular_function	GO:0003676
71190	3827	intracellular	cellular_component	GO:0005622
73787	15275	2-alkenal reductase activity	molecular_function	GO:0032440
74994	2910	endonuclease activity	molecular_function	GO:0004519
74994	4448	nucleotide-excision repair	biological_process	GO:0006289
74994	2377	GPI-anchor transamidase activity	molecular_function	GO:0003923
74994	19323	cyanophycinase activity	molecular_function	GO:0043859
74994	24583	regulation of hydrolase activity	biological_process	GO:0051336
76321	2888	monooxygenase activity	molecular_function	GO:0004497
76321	3721	iron ion binding	molecular_function	GO:0005506
76321	4283	electron transport	biological_process	GO:0006118
76321	12251	heme binding	molecular_function	GO:0020037
77000	2176	DNA binding	molecular_function	GO:0003677
77000	3838	nucleus	cellular_component	GO:0005634
77000	5939	zinc ion binding	molecular_function	GO:0008270
77701	3727	protein binding	molecular_function	GO:0005515
77701	5939	zinc ion binding	molecular_function	GO:0008270
77701	2175	nucleic acid binding	molecular_function	GO:0003676
77701	3827	intracellular	cellular_component	GO:0005622
77995	9985	hydrolase activity	molecular_function	GO:0016787
78054	3727	protein binding	molecular_function	GO:0005515
79865	2196	transcription factor activity	molecular_function	GO:0003700
79865	3838	nucleus	cellular_component	GO:0005634
79865	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
79865	5939	zinc ion binding	molecular_function	GO:0008270
79865	2176	DNA binding	molecular_function	GO:0003677
79865	4499	transcription	biological_process	GO:0006350
80017	2233	peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0003755
80017	4591	protein folding	biological_process	GO:0006457
80017	2975	cyclophilin	molecular_function	GO:0004600
80017	12948	FK506-sensitive peptidyl-prolyl cis-trans isomerase	molecular_function	GO:0030051
80017	17567	cyclophilin-type peptidyl-prolyl cis-trans isomerase activity	molecular_function	GO:0042027
80489	3043	protein kinase activity	molecular_function	GO:0004672
80489	3736	ATP binding	molecular_function	GO:0005524
80489	4602	protein amino acid phosphorylation	biological_process	GO:0006468
80489	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
80489	3058	cAMP-dependent protein kinase activity	molecular_function	GO:0004691
80489	4123	cAMP-dependent protein kinase complex	cellular_component	GO:0005952
83696	5830	metabolic process	biological_process	GO:0008152
83696	9710	oxidoreductase activity	molecular_function	GO:0016491
83696	9837	protochlorophyllide reductase activity	molecular_function	GO:0016630
84959	2175	nucleic acid binding	molecular_function	GO:0003676
84959	3827	intracellular	cellular_component	GO:0005622
84959	5939	zinc ion binding	molecular_function	GO:0008270
86412	162	nucleotide binding	molecular_function	GO:0000166
86412	3172	aminoacyl-tRNA ligase activity	molecular_function	GO:0004812
86412	3736	ATP binding	molecular_function	GO:0005524
86412	3930	cytoplasm	cellular_component	GO:0005737
86412	4556	translation	biological_process	GO:0006412
86412	4567	glutamyl-tRNA aminoacylation	biological_process	GO:0006424
86412	4561	tRNA aminoacylation for protein translation	biological_process	GO:0006418
86412	3178	glutamate-tRNA ligase activity	molecular_function	GO:0004818
86412	6929	glutamate-tRNA ligase complex	cellular_component	GO:0009332
89803	3736	ATP binding	molecular_function	GO:0005524
89803	10082	ATPase activity	molecular_function	GO:0016887
89803	162	nucleotide binding	molecular_function	GO:0000166
89803	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
89803	4927	transport	biological_process	GO:0006810
89803	9321	integral to membrane	cellular_component	GO:0016021
89803	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
89803	2450	ATP-dependent DNA helicase activity	molecular_function	GO:0004003
89803	2451	ATP-dependent RNA helicase activity	molecular_function	GO:0004004
89803	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
89803	5778	DNA-dependent ATPase activity	molecular_function	GO:0008094
89803	5860	RNA-dependent ATPase activity	molecular_function	GO:0008186
89803	8800	protein-transmembrane transporting ATPase activity	molecular_function	GO:0015462
89803	10273	single-stranded DNA-dependent ATP-dependent DNA helicase activity	molecular_function	GO:0017116
89803	18132	ATPase activity, coupled	molecular_function	GO:0042623
89803	18133	ATPase activity, uncoupled	molecular_function	GO:0042624
89803	18134	ATPase activity, coupled to transmembrane movement of ions	molecular_function	GO:0042625
89830	162	nucleotide binding	molecular_function	GO:0000166
89830	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
90654	3827	intracellular	cellular_component	GO:0005622
90654	5250	signal transduction	biological_process	GO:0007165
91274	4283	electron transport	biological_process	GO:0006118
91274	5803	ubiquinol-cytochrome-c reductase activity	molecular_function	GO:0008121
91274	9320	membrane	cellular_component	GO:0016020
91493	21808	glycerophosphoinositol glycerophosphodiesterase activity	molecular_function	GO:0047395
91536	2196	transcription factor activity	molecular_function	GO:0003700
91536	3838	nucleus	cellular_component	GO:0005634
91536	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
91536	19030	sequence-specific DNA binding	molecular_function	GO:0043565
91536	21401	protein dimerization activity	molecular_function	GO:0046983
92946	9321	integral to membrane	cellular_component	GO:0016021
92958	2487	aminoacyl-tRNA hydrolase activity	molecular_function	GO:0004045
94200	4639	proteolysis	biological_process	GO:0006508
94200	5906	cysteine-type peptidase activity	molecular_function	GO:0008234
95187	2933	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
95187	3782	extracellular region	cellular_component	GO:0005576
95187	4143	carbohydrate metabolic process	biological_process	GO:0005975
95187	13137	cellulose binding	molecular_function	GO:0030248
95187	6082	beta-glucosidase activity	molecular_function	GO:0008422
95375	7744	FMN binding	molecular_function	GO:0010181
95375	9710	oxidoreductase activity	molecular_function	GO:0016491
95375	2412	NADPH dehydrogenase activity	molecular_function	GO:0003959
98413	2290	catalytic activity	molecular_function	GO:0003824
98413	3827	intracellular	cellular_component	GO:0005622
98413	9366	RNA metabolic process	biological_process	GO:0016070
98413	2551	cyclic-nucleotide phosphodiesterase activity	molecular_function	GO:0004112
98413	2552	2',3'-cyclic-nucleotide 3'-phosphodiesterase activity	molecular_function	GO:0004113
104927	3727	protein binding	molecular_function	GO:0005515
104927	4595	protein complex assembly	biological_process	GO:0006461
104927	4994	intracellular protein transport	biological_process	GO:0006886
104927	9480	vesicle-mediated transport	biological_process	GO:0016192
104927	13011	membrane coat	cellular_component	GO:0030117
104927	6212	protein transporter activity	molecular_function	GO:0008565
104927	3530	structural molecule activity	molecular_function	GO:0005198
104927	13020	COPI vesicle coat	cellular_component	GO:0030126
104927	3708	binding	molecular_function	GO:0005488
105716	3708	binding	molecular_function	GO:0005488
106146	3736	ATP binding	molecular_function	GO:0005524
106146	10082	ATPase activity	molecular_function	GO:0016887
106146	162	nucleotide binding	molecular_function	GO:0000166
106146	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
106146	4927	transport	biological_process	GO:0006810
106146	9321	integral to membrane	cellular_component	GO:0016021
106146	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
106146	8752	molybdate transmembrane-transporting ATPase activity	molecular_function	GO:0015412
106388	2175	nucleic acid binding	molecular_function	GO:0003676
106388	2792	helicase activity	molecular_function	GO:0004386
106388	3736	ATP binding	molecular_function	GO:0005524
106388	5716	ATP-dependent helicase activity	molecular_function	GO:0008026
106388	10013	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	molecular_function	GO:0016818
106918	5010	vesicle docking during exocytosis	biological_process	GO:0006904
106918	9480	vesicle-mediated transport	biological_process	GO:0016192
107635	4513	rRNA processing	biological_process	GO:0006364
107635	14875	small subunit processome	cellular_component	GO:0032040
108156	3827	intracellular	cellular_component	GO:0005622
108156	5939	zinc ion binding	molecular_function	GO:0008270
108718	3838	nucleus	cellular_component	GO:0005634
108718	13391	transcription regulator activity	molecular_function	GO:0030528
108718	19908	regulation of transcription	biological_process	GO:0045449
109915	2290	catalytic activity	molecular_function	GO:0003824
109915	3127	spermidine synthase activity	molecular_function	GO:0004766
110036	6188	proteasome activator complex	cellular_component	GO:0008537
110036	6189	proteasome activator activity	molecular_function	GO:0008538
113181	3827	intracellular	cellular_component	GO:0005622
113181	12091	rRNA binding	molecular_function	GO:0019843
113181	2216	RNA binding	molecular_function	GO:0003723
113181	2227	structural constituent of ribosome	molecular_function	GO:0003735
113181	4556	translation	biological_process	GO:0006412
113181	9241	small ribosomal subunit	cellular_component	GO:0015935
114310	2196	transcription factor activity	molecular_function	GO:0003700
114310	3838	nucleus	cellular_component	GO:0005634
114310	4504	regulation of transcription, DNA-dependent	biological_process	GO:0006355
114310	19030	sequence-specific DNA binding	molecular_function	GO:0043565
114500	162	nucleotide binding	molecular_function	GO:0000166
114500	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
114500	2177	DNA helicase activity	molecular_function	GO:0003678
114500	3736	ATP binding	molecular_function	GO:0005524
114500	3838	nucleus	cellular_component	GO:0005634
115956	2948	mannosyl-oligosaccharide 1,2-alpha-mannosidase activity	molecular_function	GO:0004571
115956	3724	calcium ion binding	molecular_function	GO:0005509
115956	9320	membrane	cellular_component	GO:0016020
118131	5830	metabolic process	biological_process	GO:0008152
118131	5846	methyltransferase activity	molecular_function	GO:0008168
118256	9320	membrane	cellular_component	GO:0016020
118812	2207	transcription coactivator activity	molecular_function	GO:0003713
118812	3838	nucleus	cellular_component	GO:0005634
118812	20381	positive regulation of transcription	biological_process	GO:0045941
119499	2175	nucleic acid binding	molecular_function	GO:0003676
119499	3838	nucleus	cellular_component	GO:0005634
119499	5939	zinc ion binding	molecular_function	GO:0008270
119743	11039	S-formylglutathione hydrolase activity	molecular_function	GO:0018738
120401	2781	glycine dehydrogenase (decarboxylating) activity	molecular_function	GO:0004375
120401	4674	glycine metabolic process	biological_process	GO:0006544
120401	2780	glycine cleavage system	molecular_function	GO:0004374
120972	222	microtubule cytoskeleton organization and biogenesis	biological_process	GO:0000226
120972	663	spindle pole	cellular_component	GO:0000922
120972	4002	microtubule organizing center	cellular_component	GO:0005815
121390	162	nucleotide binding	molecular_function	GO:0000166
121390	10269	nucleoside-triphosphatase activity	molecular_function	GO:0017111
121390	3736	ATP binding	molecular_function	GO:0005524
121390	2176	DNA binding	molecular_function	GO:0003677
121390	3838	nucleus	cellular_component	GO:0005634
121390	4421	DNA replication	biological_process	GO:0006260
121390	2187	DNA clamp loader activity	molecular_function	GO:0003689
121390	3862	DNA replication factor C complex	cellular_component	GO:0005663
122250	3737	GTP binding	molecular_function	GO:0005525
122250	611	diacylglycerol pyrophosphate phosphatase activity	molecular_function	GO:0000810
122250	3147	thiamin-pyrophosphatase activity	molecular_function	GO:0004787
122250	6073	8-oxo-7,8-dihydroguanine triphosphatase activity	molecular_function	GO:0008413
122250	6379	UDP-2,3-diacylglucosamine hydrolase activity	molecular_function	GO:0008758
122250	6416	bis(5'-nucleosyl)-tetraphosphatase activity	molecular_function	GO:0008796
122250	6447	dATP pyrophosphohydrolase activity	molecular_function	GO:0008828
122250	9684	pyrophosphatase activity	molecular_function	GO:0016462
122250	11455	dihydroneopterin monophosphate phosphatase activity	molecular_function	GO:0019176
122250	11456	dihydroneopterin triphosphate pyrophosphohydrolase activity	molecular_function	GO:0019177
122250	18631	ATP-dependent 5'-3' DNA helicase activity	molecular_function	GO:0043141
134636	609	origin recognition complex	cellular_component	GO:0000808
134636	3838	nucleus	cellular_component	GO:0005634
134636	4421	DNA replication	biological_process	GO:0006260
135414	3043	protein kinase activity	molecular_function	GO:0004672
135414	3736	ATP binding	molecular_function	GO:0005524
135414	4602	protein amino acid phosphorylation	biological_process	GO:0006468
135414	3045	protein serine/threonine kinase activity	molecular_function	GO:0004674
136320	9985	hydrolase activity	molecular_function	GO:0016787
136320	6425	carboxymethylenebutenolidase activity	molecular_function	GO:0008806
136617	9493	antioxidant activity	molecular_function	GO:0016209
136617	9710	oxidoreductase activity	molecular_function	GO:0016491
136617	25163	peroxiredoxin activity	molecular_function	GO:0051920
136778	2290	catalytic activity	molecular_function	GO:0003824
136778	5830	metabolic process	biological_process	GO:0008152
136778	9491	4-coumarate-CoA ligase activity	molecular_function	GO:0016207
136840	3736	ATP binding	molecular_function	GO:0005524
136840	9321	integral to membrane	cellular_component	GO:0016021
136840	9691	proton-transporting two-sector ATPase complex	cellular_component	GO:0016469
136840	18135	ATPase activity, coupled to transmembrane movement of substances	molecular_function	GO:0042626
136840	21380	hydrogen ion transporting ATPase activity, rotational mechanism	molecular_function	GO:0046961
136840	9292	ATP synthesis coupled proton transport	biological_process	GO:0015986
136840	9320	membrane	cellular_component	GO:0016020
136840	21355	hydrogen ion transporting ATP synthase activity, rotational mechanism	molecular_function	GO:0046933
137195	4772	phospholipid metabolic process	biological_process	GO:0006644
137195	5848	N-methyltransferase activity	molecular_function	GO:0008170
137469	3827	intracellular	cellular_component	GO:0005622
137469	19030	sequence-specific DNA binding	molecular_function	GO:0043565
137469	2176	DNA binding	molecular_function	GO:0003677
138013	5939	zinc ion binding	molecular_function	GO:0008270
138578	2196	transcription factor activity	molecular_function	GO:0003700
