#proteinId	iprId	iprDesc	domainDb	domainId	domainDesc	numHits	domainStarts	domainEnds	score
12846	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SMART	SM00066	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	1	9,	55,	1.4E-8
12846	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SUPERFAMILY	SSF57701	\N	1	11,	47,	3.79E-9
13167	IPR002921	Fungal lipase-like domain	HMMPfam	PF01764	Lipase (class 3)	1	114,	245,	6.3E-23
13167	\N	\N	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	1,	19,	5.0
13167	IPR029058	Alpha/Beta hydrolase fold	SUPERFAMILY	SSF53474	\N	1	37,	271,	7.11E-35
13330	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	HMMPfam	PF00172	Fungal Zn(2)-Cys(6) binuclear cluster domain	1	33,	71,	3.3E-7
13330	IPR007219	Transcription factor domain, fungi	HMMPfam	PF04082	Fungal specific transcription factor domain	1	185,	336,	2.9E-10
13330	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSitePatterns	PS00463	Zn(2)-C6 fungal-type DNA-binding domain signature.	1	34,	64,	-
13330	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSiteProfiles	PS50048	Zn(2)-C6 fungal-type DNA-binding domain profile.	1	34,	66,	11.778
13330	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SMART	SM00066	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	1	29,	75,	2.4E-7
13330	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SUPERFAMILY	SSF57701	\N	1	26,	71,	1.96E-8
13530	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	35,	70,	1.31E-6
13690	IPR018484	Carbohydrate kinase, FGGY, N-terminal	HMMPfam	PF00370	FGGY family of carbohydrate kinases, N-terminal domain	1	180,	335,	3.5E-16
13690	IPR018485	Carbohydrate kinase, FGGY, C-terminal	HMMPfam	PF02782	FGGY family of carbohydrate kinases, C-terminal domain	1	343,	540,	3.1E-19
13690	\N	\N	SUPERFAMILY	SSF53067	\N	2	55,340,	333,588,	2.24E-40,7.61E-24
15274	IPR001810	F-box domain	HMMPfam	PF12937	F-box-like	1	43,	100,	4.9E-12
15274	IPR001810	F-box domain	ProSiteProfiles	PS50181	F-box domain profile.	1	40,	98,	9.524
15274	\N	\N	SUPERFAMILY	SSF52047	\N	1	166,	282,	3.14E-8
15274	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	41,	109,	5.49E-8
15690	IPR007268	Rad9/Ddc1	HMMPfam	PF04139	Rad9	1	15,	287,	1.1E-39
15690	\N	\N	SUPERFAMILY	SSF55979	\N	1	8,	104,	2.13E-8
16007	IPR007306	tRNA A64-2'-O-ribosylphosphate transferase	HMMPfam	PF04179	Initiator tRNA phosphoribosyl transferase	1	17,	489,	1.3E-125
16007	IPR007306	tRNA A64-2'-O-ribosylphosphate transferase	PIRSF	PIRSF007747	\N	1	1,	493,	478.0
16215	IPR000719	Protein kinase domain	ProSiteProfiles	PS50011	Protein kinase domain profile.	1	1,	260,	8.867
16215	IPR011009	Protein kinase-like domain	SUPERFAMILY	SSF56112	\N	1	77,	200,	1.47E-10
16660	IPR001569	Ribosomal protein L37e	HMMPfam	PF01907	Ribosomal protein L37e	1	2,	55,	2.2E-26
16660	IPR018267	Ribosomal protein L37e, conserved site	ProSitePatterns	PS01077	Ribosomal protein L37e signature.	1	4,	23,	-
16660	IPR011332	Zinc-binding ribosomal protein	SUPERFAMILY	SSF57829	\N	1	1,	55,	2.56E-22
17195	IPR013927	Transcription factor Opi1	HMMPfam	PF08618	Transcription factor Opi1	2	68,474,	450,520,	1.6E-61,8.7E-11
17817	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	HMMPfam	PF00160	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD	1	9,	160,	2.2E-40
17817	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	PRINTS	PR00153	Cyclophilin peptidyl-prolyl cis-trans isomerase signature	4	22,48,91,120,	37,60,106,135,	4.8E-14,4.8E-14,4.8E-14,4.8E-14
17817	IPR020892	Cyclophilin-type peptidyl-prolyl cis-trans isomerase, conserved site	ProSitePatterns	PS00170	Cyclophilin-type peptidyl-prolyl cis-trans isomerase signature.	1	43,	60,	-
17817	IPR002130	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain	ProSiteProfiles	PS50072	Cyclophilin-type peptidyl-prolyl cis-trans isomerase domain profile.	1	12,	161,	27.215
17817	IPR029000	Cyclophilin-like domain	SUPERFAMILY	SSF50891	\N	1	8,	179,	4.24E-57
18072	IPR006085	XPG N-terminal	HMMPfam	PF00752	XPG N-terminal domain	1	1,	101,	1.0E-6
18072	IPR006086	XPG-I domain	HMMPfam	PF00867	XPG I-region	1	148,	235,	1.5E-9
18072	IPR022039	Temperature dependent protein affecting M2 dsRNA replication, C-terminal	HMMPfam	PF12246	Temperature dependent protein affecting M2 dsRNA replication	1	513,	765,	1.1E-58
18072	IPR022040	Temperature dependent protein affecting M2 dsRNA replication, N-terminal	HMMPfam	PF12247	Temperature dependent protein affecting M2 dsRNA replication	1	333,	426,	5.5E-25
18072	IPR029060	PIN domain-like	SUPERFAMILY	SSF88723	\N	1	8,	235,	8.24E-29
18688	\N	\N	HMMPfam	PF02223	Thymidylate kinase	1	10,	201,	3.0E-46
18688	IPR018095	Thymidylate kinase, conserved site	ProSitePatterns	PS01331	Thymidylate kinase signature.	1	93,	105,	-
18688	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	1	1,	211,	7.43E-44
18688	IPR018094	Thymidylate kinase	TIGRFAM	TIGR00041	DTMP_kinase: thymidylate kinase	1	4,	200,	2.8E-37
19585	\N	\N	ProSiteProfiles	PS51257	Prokaryotic membrane lipoprotein lipid attachment site profile.	1	1,	28,	5.0
19608	IPR019368	Ribosomal protein S23/S29, mitochondrial	HMMPfam	PF10236	Mitochondrial ribosomal death-associated protein 3	1	158,	461,	2.0E-65
19608	IPR027417	P-loop containing nucleoside triphosphate hydrolase	SUPERFAMILY	SSF52540	\N	2	169,296,	217,342,	1.24E-6,1.24E-6
20707	IPR000254	Cellulose-binding domain, fungal	HMMPfam	PF00734	Fungal cellulose binding domain	1	485,	513,	6.0E-14
20707	IPR001722	Glycoside hydrolase, family 7	HMMPfam	PF00840	Glycosyl hydrolase family 7	1	20,	450,	1.2E-210
20707	IPR001722	Glycoside hydrolase, family 7	PRINTS	PR00734	Glycosyl hydrolase family 7 signature	9	42,76,131,151,175,221,291,380,432,	59,95,151,169,191,244,304,399,449,	1.8E-91,1.8E-91,1.8E-91,1.8E-91,1.8E-91,1.8E-91,1.8E-91,1.8E-91,1.8E-91
20707	IPR000254	Cellulose-binding domain, fungal	ProSitePatterns	PS00562	CBM1 (carbohydrate binding type-1) domain signature.	1	489,	516,	-
20707	IPR000254	Cellulose-binding domain, fungal	ProSiteProfiles	PS51164	CBM1 (carbohydrate binding type-1) domain profile.	1	481,	517,	12.904
20707	IPR000254	Cellulose-binding domain, fungal	SMART	SM00236	Fungal-type cellulose-binding domain	1	484,	517,	5.9E-17
20707	IPR013320	Concanavalin A-like lectin/glucanase domain	SUPERFAMILY	SSF49899	\N	1	19,	453,	1.66E-201
20707	IPR000254	Cellulose-binding domain, fungal	SUPERFAMILY	SSF57180	\N	1	483,	516,	3.53E-12
20878	IPR007205	Protein HGH1 N-terminal	HMMPfam	PF04063	Domain of unknown function (DUF383)	1	106,	348,	2.5E-52
20878	IPR007206	Protein HGH1 C-terminal	HMMPfam	PF04064	Domain of unknown function (DUF384)	1	353,	409,	1.8E-19
20878	IPR016024	Armadillo-type fold	SUPERFAMILY	SSF48371	\N	3	8,181,309,	149,274,404,	2.16E-11,2.16E-11,2.16E-11
21493	IPR002109	Glutaredoxin	HMMPfam	PF00462	Glutaredoxin	1	48,	115,	1.3E-16
21493	IPR002109	Glutaredoxin	ProSiteProfiles	PS51354	Glutaredoxin domain profile.	1	36,	141,	25.92
21493	IPR012336	Thioredoxin-like fold	SUPERFAMILY	SSF52833	\N	1	34,	139,	2.41E-31
21493	IPR004480	Monothiol glutaredoxin-related	TIGRFAM	TIGR00365	TIGR00365: monothiol glutaredoxin, Grx4 family	1	36,	135,	2.6E-40
21517	IPR001810	F-box domain	HMMPfam	PF00646	F-box domain	1	3,	48,	3.6E-6
21517	IPR001810	F-box domain	ProSiteProfiles	PS50181	F-box domain profile.	1	1,	47,	12.014
21517	IPR001810	F-box domain	SMART	SM00256	A Receptor for Ubiquitination Targets	1	7,	47,	4.1E-4
21517	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	3,	66,	2.75E-8
21999	IPR007219	Transcription factor domain, fungi	HMMPfam	PF04082	Fungal specific transcription factor domain	1	300,	452,	1.6E-10
21999	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSitePatterns	PS00463	Zn(2)-C6 fungal-type DNA-binding domain signature.	1	45,	74,	-
21999	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	ProSiteProfiles	PS50048	Zn(2)-C6 fungal-type DNA-binding domain profile.	1	45,	74,	9.666
21999	IPR017896	4Fe-4S ferredoxin-type, iron-sulphur binding domain	ProSiteProfiles	PS51379	4Fe-4S ferredoxin-type iron-sulfur binding domain profile.	1	52,	84,	7.198
21999	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SMART	SM00066	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	1	40,	85,	0.0041
21999	IPR007219	Transcription factor domain, fungi	SMART	SM00906	Fungal specific transcription factor domain	1	378,	453,	2.1E-6
21999	IPR001138	Zn(2)-C6 fungal-type DNA-binding domain	SUPERFAMILY	SSF57701	\N	1	37,	71,	2.14E-5
24506	IPR018937	Magnesium transporter	HMMPfam	PF10270	Membrane magnesium transporter	1	6,	93,	9.6E-18
26029	IPR013862	Protein of unknown function DUF1753, Golgi	HMMPfam	PF08552	Inositolphosphorylceramide synthase subunit Kei1	1	16,	194,	1.3E-42
26449	IPR000873	AMP-dependent synthetase/ligase	HMMPfam	PF00501	AMP-binding enzyme	1	64,	434,	5.5E-32
26449	IPR009081	Acyl carrier protein-like	HMMPfam	PF00550	Phosphopantetheine attachment site	1	566,	635,	9.0E-7
26449	IPR013120	Male sterility, NAD-binding	HMMPfam	PF07993	Male sterility protein	1	687,	925,	2.5E-35
26449	IPR020845	AMP-binding, conserved site	ProSitePatterns	PS00455	Putative AMP-binding domain signature.	1	205,	216,	-
26449	IPR009081	Acyl carrier protein-like	ProSiteProfiles	PS50075	Acyl carrier protein phosphopantetheine domain profile.	1	562,	636,	14.299
26449	IPR020806	Polyketide synthase, phosphopantetheine-binding domain	SMART	SM00823	Phosphopantetheine attachment site	1	563,	639,	0.0048
26449	IPR009081	Acyl carrier protein-like	SUPERFAMILY	SSF47336	\N	1	561,	640,	4.84E-8
26449	\N	\N	SUPERFAMILY	SSF51735	\N	1	685,	966,	1.18E-23
26449	\N	\N	SUPERFAMILY	SSF56801	\N	1	20,	542,	5.36E-54
26654	\N	\N	HMMPfam	PF01761	3-dehydroquinate synthase	1	81,	333,	3.7E-53
26654	\N	\N	SUPERFAMILY	SSF56796	\N	1	22,	380,	2.36E-75
26844	IPR006683	Thioesterase superfamily	HMMPfam	PF03061	Thioesterase superfamily	1	88,	165,	8.1E-9
26844	IPR029069	HotDog domain	SUPERFAMILY	SSF54637	\N	1	68,	176,	5.3E-22
26844	IPR003736	Phenylacetic acid degradation-related domain	TIGRFAM	TIGR00369	unchar_dom_1: uncharacterized domain 1	1	64,	172,	3.7E-12
27476	IPR001223	Glycoside hydrolase, family 18, catalytic domain	HMMPfam	PF00704	Glycosyl hydrolases family 18	1	90,	324,	6.9E-8
27476	IPR001579	Glycoside hydrolase, chitinase active site	ProSitePatterns	PS01095	Chitinases family 18 active site.	1	152,	160,	-
27476	IPR017853	Glycoside hydrolase superfamily	SUPERFAMILY	SSF51445	\N	2	61,277,	247,332,	1.14E-28,1.14E-28
28382	IPR001810	F-box domain	HMMPfam	PF12937	F-box-like	1	13,	58,	1.8E-6
28382	\N	\N	SUPERFAMILY	SSF52047	\N	1	93,	311,	2.35E-5
28382	IPR001810	F-box domain	SUPERFAMILY	SSF81383	\N	1	11,	54,	3.92E-6
28728	IPR019787	Zinc finger, PHD-finger	HMMPfam	PF00628	PHD-finger	1	42,	91,	2.0E-9
28728	IPR003618	Transcription elongation factor S-II, central domain	HMMPfam	PF07500	Transcription factor S-II (TFIIS), central domain	1	285,	385,	6.2E-16
28728	IPR012921	Spen paralogue and orthologue SPOC, C-terminal	HMMPfam	PF07744	SPOC domain	1	679,	801,	2.2E-6
28728	IPR019786	Zinc finger, PHD-type, conserved site	ProSitePatterns	PS01359	Zinc finger PHD-type signature.	1	43,	88,	-
28728	IPR019787	Zinc finger, PHD-finger	ProSiteProfiles	PS50016	Zinc finger PHD-type profile.	1	40,	91,	9.392
28728	IPR003618	Transcription elongation factor S-II, central domain	ProSiteProfiles	PS51321	TFIIS central domain profile.	1	240,	393,	17.238
28728	IPR001965	Zinc finger, PHD-type	SMART	SM00249	PHD zinc finger	1	42,	89,	1.5E-6
28728	IPR003618	Transcription elongation factor S-II, central domain	SUPERFAMILY	SSF46942	\N	1	285,	369,	4.71E-11
28728	IPR011011	Zinc finger, FYVE/PHD-type	SUPERFAMILY	SSF57903	\N	1	38,	95,	4.43E-14
29044	IPR000086	NUDIX hydrolase domain	HMMPfam	PF00293	NUDIX domain	1	51,	133,	3.8E-12
29044	IPR000086	NUDIX hydrolase domain	ProSiteProfiles	PS51462	Nudix hydrolase domain profile.	1	49,	206,	12.794
29044	IPR015797	NUDIX hydrolase domain-like	SUPERFAMILY	SSF55811	\N	1	50,	191,	1.0E-20
30151	IPR002674	Ribosomal protein L37ae	HMMPfam	PF01780	Ribosomal L37ae protein family	1	2,	90,	2.5E-40
30151	IPR011332	Zinc-binding ribosomal protein	SUPERFAMILY	SSF57829	\N	1	10,	82,	5.62E-31
30151	IPR002674	Ribosomal protein L37ae	TIGRFAM	TIGR00280	L37a: ribosomal protein L37a	1	1,	91,	1.1E-36
30913	IPR022816	Condensin complex subunit 2/barren	HMMPfam	PF05786	Condensin complex subunit 2	1	65,	798,	9.8E-148
30913	IPR022816	Condensin complex subunit 2/barren	PIRSF	PIRSF017126	\N	1	29,	802,	721.0
